編號,成語,注音,用法說明-語義說明,近義成語,反義成語,參考詞語,主條成語／非主條成語
1516,良藥苦口,ㄌㄧㄤˊ　ㄧㄠˋ　ㄎㄨˇ　ㄎㄡˇ,表示能治病的藥，多味苦難嚥。＆比喻諫言多不順耳，但卻有益於人。,忠言逆耳,,,主條成語
1517,忘年之交,ㄨㄤˋ　ㄋㄧㄢˊ　ㄓ　ㄐㄧㄠ,不拘年歲行輩而結交為友。,忘形之交,,忘年之契、忘年之好、忘年交、忘年交好、忘年交誼,主條成語
1518,自出機杼,ㄗˋ　ㄔㄨ　ㄐㄧ　ㄓㄨˋ,比喻獨創新意、風格。褒義。,匠心獨運、別出心裁、別具一格、別具匠心、別開生面、獨樹一幟,人云亦云、千篇一律、亦步亦趨、如法炮製、拾人牙慧、襲人故智,別出機杼、自成機杼,主條成語
1519,防患未然,ㄈㄤˊ　ㄏㄨㄢˋ　ㄨㄟˋ　ㄖㄢˊ,比喻趁禍患還未發生之前就加以防備。,未雨綢繆、曲突徙薪、防微杜漸,江心補漏、臨陣磨槍、臨渴掘井,絕禍未萌、銷患未然、防禍未然、除患未然,主條成語
1520,敵愾同仇,ㄉㄧˊ　ㄎㄞˋ　ㄊㄨㄥˊ　ㄔㄡˊ,,,,,非主條成語
1521,網開一面,ㄨㄤˇ　ㄎㄞ　ㄧ　ㄇㄧㄢˋ　（變）　ㄨㄤˇ　ㄎㄞ　ㄧˊ　ㄇㄧㄢˋ,比喻寬大仁厚，對犯錯的人從寬處置。,,斬盡殺絕、嚴懲不貸,三面開網、網開三面,主條成語
1522,相濡以沫,ㄒㄧㄤ　ㄖㄨˊ　ㄧˇ　ㄇㄛˋ,比喻人同處於困境，而互相以微力救助。,同甘共苦、同舟共濟,,以沫相濡、沫相濡、濡沫涸轍,主條成語
1523,縱虎歸山,ㄗㄨㄥˋ　ㄏㄨˇ　ㄍㄨㄟ　ㄕㄢ,比喻放走敵人，後患無窮。,放龍入海、養虎遺患、養癰遺患,杜絕後患、除惡務盡、斬草除根,放虎歸山、放虎遺患,主條成語
1524,何足掛齒,ㄏㄜˊ　ㄗㄨˊ　ㄍㄨㄚˋ　ㄔˇ,,,,,非主條成語
1525,刮目相待,ㄍㄨㄚ　ㄇㄨˋ　ㄒㄧㄤ　ㄉㄞˋ,,,,,非主條成語
1526,老嫗能解,ㄌㄠˇ　ㄩˋ　ㄋㄥˊ　ㄐㄧㄝˇ,形容文字通俗明白，淺顯易懂。,淺顯易懂,,,主條成語
1527,木人石心,ㄇㄨˋ　ㄖㄣˊ　ㄕˊ　ㄒㄧㄣ,形容人冷酷無情。,鐵石心腸,,,主條成語
1528,坐懷不亂,ㄗㄨㄛˋ　ㄏㄨㄞˊ　ㄅㄨˋ　ㄌㄨㄢˋ　（變）　ㄗㄨㄛˋ　ㄏㄨㄞˊ　ㄅㄨˊ　ㄌㄨㄢˋ,形容男子行事端正，雖與女子同處而不淫亂。褒義。,,,,主條成語
1529,十行俱下,ㄕˊ　ㄏㄤˊ　ㄐㄩˋ　ㄒㄧㄚˋ,,,,,非主條成語
1530,黨同伐異,ㄉㄤˇ　ㄊㄨㄥˊ　ㄈㄚ　ㄧˋ,泛指一切團體之間的鬥爭。,引繩排根、結黨營私,同心協力、周而不比、無偏無黨,伐異黨同、標同伐異,主條成語
1531,朝令夕改,ㄓㄠ　ㄌㄧㄥˋ　ㄒㄧˋ　ㄍㄞˇ,比喻政令、主張或意見反覆無常。,反覆無常、出爾反爾、朝更夕改,令出如山、言之不渝,朝令暮改,主條成語
1532,痛飲黃龍,ㄊㄨㄥˋ　ㄧㄣˇ　ㄏㄨㄤˊ　ㄌㄨㄥˊ,,,,,非主條成語
1533,欲罷不能,ㄩˋ　ㄅㄚˋ　ㄅㄨˋ　ㄋㄥˊ,想要停止卻做不到。,,,,主條成語
1534,破天荒,ㄆㄛˋ　ㄊㄧㄢ　ㄏㄨㄤ,形容從來沒有過的事，或第一次出現的事。,史無前例、開天闢地,史不絕書、屢見不鮮,,主條成語
1535,與狐謀皮,ㄩˇ　ㄏㄨˊ　ㄇㄡˊ　ㄆㄧˊ,,,,,非主條成語
1536,教學相長,ㄐㄧㄠˋ　ㄒㄩㄝˊ　ㄒㄧㄤ　ㄓㄤˇ,指通過教授、學習，不但能使學生得到進步，而且教師本身的水準也可藉此提高。,,,,主條成語
1537,向壁虛造,ㄒㄧㄤˋ　ㄅㄧˋ　ㄒㄩ　ㄗㄠˋ,比喻憑空捏造。,捕風捉影、無中生有,,嚮壁虛造、鄉壁虛造,主條成語
1538,酒池肉林,ㄐㄧㄡˇ　ㄔˊ　ㄖㄡˋ　ㄌㄧㄣˊ,比喻生活極端奢侈縱欲，毫無節制。,,,肉圃酒池、肉林酒池,主條成語
1539,大喜過望,ㄉㄚˋ　ㄒㄧˇ　ㄍㄨㄛˋ　ㄨㄤˋ,因結果超過原本預期而感到特別高興。,如願以償、喜出望外、喜從天降,大失所望、事與願違,大喜踰望、過望之喜、驚喜過望,主條成語
1540,心手相應,ㄒㄧㄣ　ㄕㄡˇ　ㄒㄧㄤ　ㄧㄥˋ,,,,,非主條成語
1541,敝帚千金,ㄅㄧˋ　ㄓㄡˇ　ㄑㄧㄢ　ㄐㄧㄣ,,,,,非主條成語
1542,比肩繼踵,ㄅㄧˋ　ㄐㄧㄢ　ㄐㄧˋ　ㄓㄨㄥˇ,,,,,非主條成語
1543,道不拾遺,ㄉㄠˋ　ㄅㄨˋ　ㄕˊ　ㄧˊ,,,,,非主條成語
1544,膽戰心驚,ㄉㄢˇ　ㄓㄢˋ　ㄒㄧㄣ　ㄐㄧㄥ,,,,,非主條成語
1545,勢成騎虎,ㄕˋ　ㄔㄥˊ　ㄑㄧˊ　ㄏㄨˇ,,,,,非主條成語
1546,反脣相稽,ㄈㄢˇ　ㄔㄨㄣˊ　ㄒㄧㄤ　ㄐㄧ,受到指責不服氣，反過來對對方加以計較、譏斥。,,,反脣相攻、反脣相譏,主條成語
1547,百戰百勝,ㄅㄞˇ　ㄓㄢˋ　ㄅㄞˇ　ㄕㄥˋ,形容善於作戰，所向無敵。,百戰不殆、攻無不克、所向無敵、戰無不勝,三戰三北、每戰皆北、屢戰屢敗,,主條成語
1548,藍田生玉,ㄌㄢˊ　ㄊㄧㄢˊ　ㄕㄥ　ㄩˋ,比喻名門出俊秀子弟。,,,藍田出玉,主條成語
1549,響遏行雲,ㄒㄧㄤˇ　ㄜˋ　ㄒㄧㄥˊ　ㄩㄣˊ,形容歌聲響亮高妙。,穿雲裂石、聲動梁塵、繞梁三日、響徹雲霄,,歌遏行雲、聲遏行雲、遏斷行雲,主條成語
1550,剖腹藏珠,ㄆㄡˇ　ㄈㄨˋ　ㄘㄤˊ　ㄓㄨ,形容人愛財傷身的輕重顛倒行為。,因小失大,,剖腹藏寶,主條成語
1551,以卵投石,ㄧˇ　ㄌㄨㄢˇ　ㄊㄡˊ　ㄕˊ,比喻自不量力或以弱攻強，結果必然失敗。,蚍蜉撼樹、螳臂擋車,以碫投卵、泰山壓卵,以卵擊石,主條成語
1552,疾風知勁草,ㄐㄧˊ　ㄈㄥ　ㄓ　ㄐㄧㄥˋ　ㄘㄠˇ,,,,,非主條成語
1553,魯魚亥豕,ㄌㄨˇ　ㄩˊ　ㄏㄞˋ　ㄕˇ,指因文字形似而致傳寫或刊刻錯誤。,三豕涉河、烏焉亥豕,,亥豕帝虎、亥豕魚魯、亥豕魯魚、帝虎魯魚、魯魚帝虎,主條成語
1554,一箭雙鵰,ㄧ　ㄐㄧㄢˋ　ㄕㄨㄤ　ㄉㄧㄠ　（變）　ㄧˊ　ㄐㄧㄢˋ　ㄕㄨㄤ　ㄉㄧㄠ,比喻一次舉動，可以同時達到兩個目標。,一石二鳥、一舉兩得、事半功倍,一無所得、事倍功半、徒勞無功,一矢雙穿、一箭雙雕、雙雕一箭,主條成語
1555,慘綠少年,ㄘㄢˇ　ㄌㄩˋ　ㄕㄠˋ　ㄋㄧㄢˊ,比喻青春年少。＆風度翩翩、意氣風發的青年才俊。＆徬徨苦惱的少年。,風流才子,,,主條成語
1556,殷鑒不遠,ㄧㄣ　ㄐㄧㄢˋ　ㄅㄨˋ　ㄩㄢˇ,比喻前人的教訓近在眼前，不可不慎。,前車之鑑、前事不忘、後事之師,重蹈覆轍,,主條成語
1557,秦鏡高懸,ㄑㄧㄣˊ　ㄐㄧㄥˋ　ㄍㄠ　ㄒㄩㄢˊ,,,,,非主條成語
1558,網漏吞舟,ㄨㄤˇ　ㄌㄡˋ　ㄊㄨㄣ　ㄓㄡ,,,,,非主條成語
1559,山盟海誓,ㄕㄢ　ㄇㄥˊ　ㄏㄞˇ　ㄕˋ,,,,,非主條成語
1560,口中雌黃,ㄎㄡˇ　ㄓㄨㄥ　ㄘ　ㄏㄨㄤˊ,,,,,非主條成語
1561,摩肩接踵,ㄇㄛˊ　ㄐㄧㄢ　ㄐㄧㄝ　ㄓㄨㄥˇ,形容人多擁擠不堪。,,,接踵摩肩、摩肩繼踵、比肩繼踵、比肩隨踵、肩摩袂屬、肩摩踵接,主條成語
1562,以管窺天,ㄧˇ　ㄍㄨㄢˇ　ㄎㄨㄟ　ㄊㄧㄢ,比喻見識片面而狹窄。,一孔之見、井蛙之見、坐井觀天、管中窺豹、管窺蠡測、管窺虎、牖中窺日,見多識廣、高瞻遠矚,持管窺天、用管闚天、管中闚天,主條成語
1563,葉落知秋,ㄧㄝˋ　ㄌㄨㄛˋ　ㄓ　ㄑㄧㄡ,,,,,非主條成語
1564,銜環結草,ㄒㄧㄢˊ　ㄏㄨㄢˊ　ㄐㄧㄝˊ　ㄘㄠˇ,,,,,非主條成語
1565,野人獻曝,ㄧㄝˇ　ㄖㄣˊ　ㄒㄧㄢˋ　ㄆㄨˋ,比喻平凡人所貢獻的平凡事物。,,,野人奏曝,主條成語
1566,夢筆生花,ㄇㄥˋ　ㄅㄧˇ　ㄕㄥ　ㄏㄨㄚ,比喻才思泉湧、文筆富麗。,下筆如有神、生花妙筆,,入夢生花、夢筆花生、筆夢生花、綵筆生花,主條成語
1567,喜逐顏開,ㄒㄧˇ　ㄓㄨˊ　ㄧㄢˊ　ㄎㄞ,,,,,非主條成語
1568,戴月披星,ㄉㄞˋ　ㄩㄝˋ　ㄆㄧ　ㄒㄧㄥ,,,,,非主條成語
1569,以卵擊石,ㄧˇ　ㄌㄨㄢˇ　ㄐㄧˊ　ㄕˊ,,,,,非主條成語
1570,天香國色,ㄊㄧㄢ　ㄒㄧㄤ　ㄍㄨㄛˊ　ㄙㄜˋ,,,,,非主條成語
1571,戶限為穿,ㄏㄨˋ　ㄒㄧㄢˋ　ㄨㄟˊ　ㄔㄨㄢ,形容來訪人數眾多。,車水馬龍,門可羅雀,,主條成語
1572,白頭偕老,ㄅㄞˊ　ㄊㄡˊ　ㄒㄧㄝˊ　ㄌㄠˇ,形容夫妻恩愛到老。,白頭相守、伉儷情深、鳳凰于飛,琵琶別抱、喜新厭舊、勞燕分飛、鳳隻鸞孤、鏡破釵分、露水夫妻,偕老百年、白頭到老、百年偕老,主條成語
1573,網開三面,ㄨㄤˇ　ㄎㄞ　ㄙㄢ　ㄇㄧㄢˋ,,,,,非主條成語
1574,器宇軒昂,ㄑㄧˋ　ㄩˇ　ㄒㄩㄢ　ㄤˊ,,,,,非主條成語
1575,沉魚落雁,ㄔㄣˊ　ㄩˊ　ㄌㄨㄛˋ　ㄧㄢˋ,形容女子容貌美麗出眾。褒義。,如花似玉、花容月貌、閉月羞花、國色天香、傾國傾城,其貌不揚、無鹽之貌,沈魚落雁、沉魚落鴈、落雁沉魚、落鴈沉魚、魚沈鴈落、魚沉鴈落,主條成語
1576,知彼知己,ㄓ　ㄅㄧˇ　ㄓ　ㄐㄧˇ,,,,,非主條成語
1577,傷弓之鳥,ㄕㄤ　ㄍㄨㄥ　ㄓ　ㄋㄧㄠˇ,,,,,非主條成語
1578,耳邊風,ㄦˇ　ㄅㄧㄢ　ㄈㄥ,比喻對所聽到的事毫不關心。,秋風過耳、馬耳東風、無動於衷、置若罔聞,拳拳服膺、銘記在心,耳旁風,主條成語
1579,知己知彼,ㄓ　ㄐㄧˇ　ㄓ　ㄅㄧˇ,正確澈底地了解自己以及對手的實力。,,,知彼知己,主條成語
1580,神工鬼斧,ㄕㄣˊ　ㄍㄨㄥ　ㄍㄨㄟˇ　ㄈㄨˇ,,,,,非主條成語
1581,春風滿面,ㄔㄨㄣ　ㄈㄥ　ㄇㄢˇ　ㄇㄧㄢˋ,,,,,非主條成語
1582,露出馬腳,ㄌㄡˋ　ㄔㄨ　ㄇㄚˇ　ㄐㄧㄠˇ,比喻隱蔽的真相洩露出來。,原形畢露、東窗事發,瞞天過海,,主條成語
1583,屋下架屋,ㄨ　ㄒㄧㄚˋ　ㄐㄧㄚˋ　ㄨ,比喻重複模仿，無所創新。貶義。,,,屋下作屋、屋下蓋屋,主條成語
1584,卷土重來,ㄐㄩㄢˇ　ㄊㄨˇ　ㄔㄨㄥˊ　ㄌㄞˊ,,,,,非主條成語
1585,負薪救火,ㄈㄨˋ　ㄒㄧㄣ　ㄐㄧㄡˋ　ㄏㄨㄛˇ,,,,,非主條成語
1586,背水一戰,ㄅㄟˋ　ㄕㄨㄟˇ　ㄧ　ㄓㄢˋ　（變）　ㄅㄟˋ　ㄕㄨㄟˇ　ㄧˊ　ㄓㄢˋ,比喻抱著必死的決心，奮戰取勝。,孤注一擲、背城借一、破釜沉舟,臨陣脫逃,背水陳,主條成語
1587,秣馬厲兵,ㄇㄛˋ　ㄇㄚˇ　ㄌㄧˋ　ㄅㄧㄥ,,,,,非主條成語
1588,山木自寇,ㄕㄢ　ㄇㄨˋ　ㄗˋ　ㄎㄡˋ,比喻人因擁有才能而招致禍患。,,,木直自寇,主條成語
1589,傾城傾國,ㄑㄧㄥ　ㄔㄥˊ　ㄑㄧㄥ　ㄍㄨㄛˊ,,,,,非主條成語
1590,食玉炊桂,ㄕˊ　ㄩˋ　ㄔㄨㄟ　ㄍㄨㄟˋ,,,,,非主條成語
1591,尺幅千里,ㄔˇ　ㄈㄨˊ　ㄑㄧㄢ　ㄌㄧˇ,指篇幅雖短而內容豐富，氣勢遠大。,尺寸千里、掌上河山,,,主條成語
1592,東道主人,ㄉㄨㄥ　ㄉㄠˋ　ㄓㄨˇ　ㄖㄣˊ,,,,,非主條成語
1593,長風破浪,ㄔㄤˊ　ㄈㄥ　ㄆㄛˋ　ㄌㄤˋ,,,,,非主條成語
1594,問柳尋花,ㄨㄣˋ　ㄌㄧㄡˇ　ㄒㄩㄣˊ　ㄏㄨㄚ,,,,,非主條成語
1595,舍本逐末,ㄕㄜˇ　ㄅㄣˇ　ㄓㄨˊ　ㄇㄛˋ,,,,,非主條成語
1596,異路同歸,ㄧˋ　ㄌㄨˋ　ㄊㄨㄥˊ　ㄍㄨㄟ,,,,,非主條成語
1597,依樣葫蘆,ㄧ　ㄧㄤˋ　ㄏㄨˊ　ㄌㄨˊ,,,,,非主條成語
1598,見笑大方,ㄐㄧㄢˋ　ㄒㄧㄠˋ　ㄉㄚˋ　ㄈㄤ,,,,,非主條成語
1599,稠人廣眾,ㄔㄡˊ　ㄖㄣˊ　ㄍㄨㄤˇ　ㄓㄨㄥˋ,,,,,非主條成語
1600,萬死一生,ㄨㄢˋ　ㄙˇ　ㄧ　ㄕㄥ　（變）　ㄨㄢˋ　ㄙˇ　ㄧˋ　ㄕㄥ,,,,,非主條成語
1601,嘆為觀止,ㄊㄢˋ　ㄨㄟˊ　ㄍㄨㄢ　ㄓˇ,讚美所看到的事物好到極點，無與倫比。褒義。,至矣盡矣,自鄶以下,嘆觀止矣、觀止之嘆,主條成語
1602,獨出心裁,ㄉㄨˊ　ㄔㄨ　ㄒㄧㄣ　ㄘㄞˊ,,,,,非主條成語
1603,臨機應變,ㄌㄧㄣˊ　ㄐㄧ　ㄧㄥˋ　ㄅㄧㄢˋ,,,,,非主條成語
1604,行屍走肉,ㄒㄧㄥˊ　ㄕ　ㄗㄡˇ　ㄖㄡˋ,比喻徒具形骸，毫無生氣，庸碌無為的人。,,,行尸坐肉、行尸走肉、行尸走骨、行屍視肉、走骨行屍,主條成語
1605,窺豹一斑,ㄎㄨㄟ　ㄅㄠˋ　ㄧ　ㄅㄢ　（變）　ㄎㄨㄟ　ㄅㄠˋ　ㄧˋ　ㄅㄢ,,,,,非主條成語
1606,負重致遠,ㄈㄨˋ　ㄓㄨㄥˋ　ㄓˋ　ㄩㄢˇ,比喻能夠長期擔負重責大任。,任重道遠,力不勝任,任重致遠,主條成語
1607,行尸走肉,ㄒㄧㄥˊ　ㄕ　ㄗㄡˇ　ㄖㄡˋ,,,,,非主條成語
1608,登徒子,ㄉㄥ　ㄊㄨˊ　ㄗˇ,貪戀女色的人。貶義。,好色之徒,柳下惠、魯男子,,主條成語
1609,明珠暗投,ㄇㄧㄥˊ　ㄓㄨ　ㄢˋ　ㄊㄡˊ,比喻懷才不遇，高才屈居下位。＆比喻好人誤入歧途。,懷才不遇,蛟龍得水,明珠夜投、隋珠暗投,主條成語
1610,黔驢之技,ㄑㄧㄢˊ　ㄌㄩˊ　ㄓ　ㄐㄧˋ,,,,,非主條成語
1611,休戚與共,ㄒㄧㄡ　ㄑㄧ　ㄩˇ　ㄍㄨㄥˋ,形容彼此同甘共苦。,休戚相關、息息相關、脣齒相依、禍福與共,渺不相涉、漠不相關,休慼是同、休戚共之、同休等戚,主條成語
1612,氣息奄奄,ㄑㄧˋ　ㄒㄧˊ　ㄧㄢ　ㄧㄢ,,,,,非主條成語
1613,助紂為虐,ㄓㄨˋ　ㄓㄡˋ　ㄨㄟˊ　ㄋㄩㄝˋ,比喻協助壞人做壞事。貶義。,助桀為虐、為虎作倀、為虎傅翼,為民除害,,主條成語
1614,殺雞焉用牛刀,ㄕㄚ　ㄐㄧ　ㄧㄢ　ㄩㄥˋ　ㄋㄧㄡˊ　ㄉㄠ,,,,,非主條成語
1615,學步邯鄲,ㄒㄩㄝˊ　ㄅㄨˋ　ㄏㄢˊ　ㄉㄢ,,,,,非主條成語
1616,以蠡測海,ㄧˇ　ㄌㄧˊ　ㄘㄜˋ　ㄏㄞˇ,,,,,非主條成語
1617,直搗黃龍,ㄓˊ　ㄉㄠˇ　ㄏㄨㄤˊ　ㄌㄨㄥˊ,直接進擊敵方都城、巢穴。,長驅直入,,痛飲黃龍,主條成語
1618,僕僕風塵,ㄆㄨˊ　ㄆㄨˊ　ㄈㄥ　ㄔㄣˊ,,,,,非主條成語
1619,不識一丁,ㄅㄨˋ　ㄕˋ　ㄧ　ㄉㄧㄥ　（變）　ㄅㄨˊ　ㄕˋ　ㄧˋ　ㄉㄧㄥ,,,,,非主條成語
1620,一息奄奄,ㄧ　ㄒㄧˊ　ㄧㄢ　ㄧㄢ　（變）　ㄧˋ　ㄒㄧˊ　ㄧㄢ　ㄧㄢ,,,,,非主條成語
1621,地角天涯,ㄉㄧˋ　ㄐㄧㄠˇ　ㄊㄧㄢ　ㄧㄚˊ,,,,,非主條成語
1622,同工異曲,ㄊㄨㄥˊ　ㄍㄨㄥ　ㄧˋ　ㄑㄩˇ,,,,,非主條成語
1623,有條有理,ㄧㄡˇ　ㄊㄧㄠˊ　ㄧㄡˇ　ㄌㄧˇ,,,,,非主條成語
1624,至公無私,ㄓˋ　ㄍㄨㄥ　ㄨˊ　ㄙ,,,,,非主條成語
1625,傍人門戶,ㄅㄤˋ　ㄖㄣˊ　ㄇㄣˊ　ㄏㄨˋ,,,,,非主條成語
1626,決一雌雄,ㄐㄩㄝˊ　ㄧ　ㄘ　ㄒㄩㄥˊ　（變）　ㄐㄩㄝˊ　ㄧˋ　ㄘˊ　ㄒㄩㄥˊ,,,,,非主條成語
1627,防意如城,ㄈㄤˊ　ㄧˋ　ㄖㄨˊ　ㄔㄥˊ,防止私欲的心有如防止敵人攻城。,,,,主條成語
1628,抽薪止沸,ㄔㄡ　ㄒㄧㄣ　ㄓˇ　ㄈㄟˋ,,,,,非主條成語
1629,家徒壁立,ㄐㄧㄚ　ㄊㄨˊ　ㄅㄧˋ　ㄌㄧˋ,,,,,非主條成語
1630,東床坦腹,ㄉㄨㄥ　ㄔㄨㄤˊ　ㄊㄢˇ　ㄈㄨˋ,,,,,非主條成語
1631,略識之無,ㄌㄩㄝˋ　ㄕˋ　ㄓ　ㄨˊ,,,,,非主條成語
1632,舍生取義,ㄕㄜˇ　ㄕㄥ　ㄑㄩˇ　ㄧˋ,,,,,非主條成語
1633,狐死兔泣,ㄏㄨˊ　ㄙˇ　ㄊㄨˋ　ㄑㄧˋ,,,,,非主條成語
1634,革面洗心,ㄍㄜˊ　ㄇㄧㄢˋ　ㄒㄧˇ　ㄒㄧㄣ,,,,,非主條成語
1635,芙蓉出水,ㄈㄨˊ　ㄖㄨㄥˊ　ㄔㄨ　ㄕㄨㄟˇ,,,,,非主條成語
1636,海角天涯,ㄏㄞˇ　ㄐㄧㄠˇ　ㄊㄧㄢ　ㄧㄚˊ,,,,,非主條成語
1637,疑信參半,ㄧˊ　ㄒㄧㄣˋ　ㄘㄢ　ㄅㄢˋ,,,,,非主條成語
1638,無翼而飛,ㄨˊ　ㄧˋ　ㄦˊ　ㄈㄟ,,,,,非主條成語
1639,涇渭分明,ㄐㄧㄥ　ㄨㄟˋ　ㄈㄣ　ㄇㄧㄥˊ,比喻彼此的區別非常清楚。,黑白分明、壁壘分明,不分皂白、是非不分、涇渭不分,涇渭不雜、涇渭了然、涇渭斯明、涇渭自分、涇渭自明,主條成語
1640,背井離鄉,ㄅㄟˋ　ㄐㄧㄥˇ　ㄌㄧˊ　ㄒㄧㄤ,,,,,非主條成語
1641,反求諸己,ㄈㄢˇ　ㄑㄧㄡˊ　ㄓㄨ　ㄐㄧˇ,從自己本身找出原因，自我反省。,反躬自省,怨天尤人,反求諸身,主條成語
1642,家無長物,ㄐㄧㄚ　ㄨˊ　ㄓㄤˋ　ㄨˋ,,,,,非主條成語
1643,一無所知,ㄧ　ㄨˊ　ㄙㄨㄛˇ　ㄓ　（變）　ㄧˋ　ㄨˊ　ㄙㄨㄛˇ　ㄓ,比喻人什麼也不知道。,一問三不知、一竅不通、茫然無知,見多識廣、無所不知、無所不曉、瞭如指掌,,主條成語
1644,雕蟲篆刻,ㄉㄧㄠ　ㄔㄨㄥˊ　ㄓㄨㄢˋ　ㄎㄜˋ,,,,,非主條成語
1645,如風過耳,ㄖㄨˊ　ㄈㄥ　ㄍㄨㄛˋ　ㄦˇ,,,,,非主條成語
1646,逆耳之言,ㄋㄧˋ　ㄦˇ　ㄓ　ㄧㄢˊ,,,,,非主條成語
1647,夢寐以求,ㄇㄥˋ　ㄇㄟˋ　ㄧˇ　ㄑㄧㄡˊ,形容願望強烈、迫切。,朝思暮想,,夢寐魂求,主條成語
1648,玩火自焚,ㄨㄢˊ　ㄏㄨㄛˇ　ㄗˋ　ㄈㄣˊ,比喻盲動、蠻幹的人最後將自食惡果。,自取其咎、自食惡果、作法自斃、作繭自縛,,,主條成語
1649,百折不回,ㄅㄞˇ　ㄓㄜˊ　ㄅㄨˋ　ㄏㄨㄟˊ,,,,,非主條成語
1650,安枕而臥,ㄢ　ㄓㄣˇ　ㄦˊ　ㄨㄛˋ,,,,,非主條成語
1651,喜笑顏開,ㄒㄧˇ　ㄒㄧㄠˋ　ㄧㄢˊ　ㄎㄞ,,,,,非主條成語
1652,痛快淋漓,ㄊㄨㄥˋ　ㄎㄨㄞˋ　ㄌㄧㄣˊ　ㄌㄧˊ,,,,,非主條成語
1653,別出機杼,ㄅㄧㄝˊ　ㄔㄨ　ㄐㄧ　ㄓㄨˋ,,,,,非主條成語
1654,黃鐘毀棄,ㄏㄨㄤˊ　ㄓㄨㄥ　ㄏㄨㄟˇ　ㄑㄧˋ,比喻賢才不被重用。,浮雲蔽日,,黃鐘長棄,主條成語
1655,口尚乳臭,ㄎㄡˇ　ㄕㄤˋ　ㄖㄨˇ　ㄒㄧㄡˋ,,,,,非主條成語
1656,黃雀伺蟬,ㄏㄨㄤˊ　ㄑㄩㄝˋ　ㄙˋ　ㄔㄢˊ,,,,,非主條成語
1657,不值一錢,ㄅㄨˋ　ㄓˊ　ㄧ　ㄑㄧㄢˊ　（變）　ㄅㄨˋ　ㄓˊ　ㄧˋ　ㄑㄧㄢˊ,,,,,非主條成語
1658,八斗之才,ㄅㄚ　ㄉㄡˇ　ㄓ　ㄘㄞˊ,,,,,非主條成語
1659,天涯地角,ㄊㄧㄢ　ㄧㄚˊ　ㄉㄧˋ　ㄐㄧㄠˇ,,,,,非主條成語
1660,心回意轉,ㄒㄧㄣ　ㄏㄨㄟˊ　ㄧˋ　ㄓㄨㄢˇ,,,,,非主條成語
1661,扞格不入,ㄏㄢˋ　ㄍㄜˊ　ㄅㄨˋ　ㄖㄨˋ　（變）　ㄏㄢˋ　ㄍㄜˊ　ㄅㄨˊ　ㄖㄨˋ,,,,,非主條成語
1662,見景生情,ㄐㄧㄢˋ　ㄐㄧㄥˇ　ㄕㄥ　ㄑㄧㄥˊ,看到眼前的景象而觸發自己的情感。＆比喻隨機應變。,見鞍思馬、睹物思人、撫今追昔、隨機應變,無動於衷、不知權變,即景生情、看景生情,主條成語
1663,沐雨櫛風,ㄇㄨˋ　ㄩˇ　ㄐㄧㄝˊ　ㄈㄥ,,,,,非主條成語
1664,隨時制宜,ㄙㄨㄟˊ　ㄕˊ　ㄓˋ　ㄧˊ,,,,,非主條成語
1665,移天易日,ㄧˊ　ㄊㄧㄢ　ㄧˋ　ㄖˋ,比喻奸臣盜弄政權，顛倒是非，欺上瞞下。,,,徙日移天、移天徙日、移天換日,主條成語
1666,零丁孤苦,ㄌㄧㄥˊ　ㄉㄧㄥ　ㄍㄨ　ㄎㄨˇ,,,,,非主條成語
1667,惜玉憐香,ㄒㄧˊ　ㄩˋ　ㄌㄧㄢˊ　ㄒㄧㄤ,,,,,非主條成語
1668,朝令暮改,ㄓㄠ　ㄌㄧㄥˋ　ㄇㄨˋ　ㄍㄞˇ,,,,,非主條成語
1669,疾言遽色,ㄐㄧˊ　ㄧㄢˊ　ㄐㄩˋ　ㄙㄜˋ,,,,,非主條成語
1670,飯坑酒囊,ㄈㄢˋ　ㄎㄥ　ㄐㄧㄡˇ　ㄋㄤˊ,,,,,非主條成語
1671,恨相知晚,ㄏㄣˋ　ㄒㄧㄤ　ㄓ　ㄨㄢˇ,,,,,非主條成語
1672,跬步不離,ㄎㄨㄟˇ　ㄅㄨˋ　ㄅㄨˋ　ㄌㄧˊ,,,,,非主條成語
1673,拿班做勢,ㄋㄚˊ　ㄅㄢ　ㄗㄨㄛˋ　ㄕˋ,,,,,非主條成語
1674,畫餅充饑,ㄏㄨㄚˋ　ㄅㄧㄥˇ　ㄔㄨㄥ　ㄐㄧ,,,,,非主條成語
1675,捉衿見肘,ㄓㄨㄛ　ㄐㄧㄣ　ㄒㄧㄢˋ　ㄓㄡˇ,,,,,非主條成語
1676,心如鐵石,ㄒㄧㄣ　ㄖㄨˊ　ㄊㄧㄝˇ　ㄕˊ,,,,,非主條成語
1677,東道主,ㄉㄨㄥ　ㄉㄠˋ　ㄓㄨˇ,泛指接待或宴請賓客的主人。,北道主人,座上客,做東道、東道主人,主條成語
1678,樂而忘返,ㄌㄜˋ　ㄦˊ　ㄨㄤˋ　ㄈㄢˇ,指快樂得忘了回去。,流連忘返、樂不思蜀,,樂而忘歸,主條成語
1679,穩如泰山,ㄨㄣˇ　ㄖㄨˊ　ㄊㄞˋ　ㄕㄢ,,,,,非主條成語
1680,道聽途說,ㄉㄠˋ　ㄊㄧㄥ　ㄊㄨˊ　ㄕㄨㄛ,,,,,非主條成語
